vertex_id,degree,pagerank,betweenness,closeness,eigenvector,katz,hits_authority,hits_hub,eigentrust,trust_transitivity
111,0.037383177570093455,0.23128911138923655,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.018691588785046728
112,0.19626168224299065,0.025031289111389236,0.0,0.0,0.0,0.0,0.19626168224299065,0.25,0.0,0.009345794392523364
113,0.028037383177570093,0.022027534418022528,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.009345794392523364
114,0.06542056074766354,0.019524405506883606,0.0,0.0,0.0,0.0,0.06542056074766354,0.08333333333333333,0.0,0.009345794392523364
115,0.018691588785046728,0.01877346683354193,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.009345794392523364
116,0.1308411214953271,0.0851063829787234,0.0,0.0,0.0,0.0,0.1308411214953271,0.16666666666666666,0.0,0.009345794392523364
117,0.028037383177570093,0.03204005006257822,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.009345794392523364
118,0.028037383177570093,0.1276595744680851,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.037383177570093455
119,0.04672897196261682,0.14868585732165207,0.0,0.0,0.0,0.0,0.04672897196261682,0.05952380952380952,0.0,0.009345794392523364
120,0.19626168224299065,0.07259073842302878,0.0,0.0,0.0,0.0,0.19626168224299065,0.25,0.0,0.009345794392523364
121,0.037383177570093455,0.02853566958698373,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.009345794392523364
122,0.04672897196261682,0.030037546933667083,0.0,0.0,0.0,0.0,0.04672897196261682,0.05952380952380952,0.0,0.009345794392523364
123,0.037383177570093455,0.012015018773466833,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.009345794392523364
124,0.028037383177570093,0.14418022528160201,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.009345794392523364
125,0.04672897196261682,0.010012515644555695,0.0,0.0,0.0,0.0,0.04672897196261682,0.05952380952380952,0.0,0.009345794392523364
126,0.009345794392523364,0.07209011264080101,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.018691588785046728
127,0.018691588785046728,0.07509386733416772,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.018691588785046728
128,0.08411214953271028,0.0460575719649562,0.0,0.0,0.0,0.0,0.08411214953271028,0.10714285714285714,0.0,0.009345794392523364
129,0.06542056074766354,0.013516896120150187,0.0,0.0,0.0,0.0,0.06542056074766354,0.08333333333333333,0.0,0.009345794392523364
130,0.018691588785046728,0.07484355444305382,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.009345794392523364
131,0.205607476635514,0.044055068836045055,0.0,0.0,0.0,0.0,0.205607476635514,0.2619047619047619,0.0,0.009345794392523364
132,0.14018691588785046,0.029036295369211516,0.0,0.0,0.0,0.0,0.14018691588785046,0.17857142857142855,0.0,0.018691588785046728
133,0.009345794392523364,0.058823529411764705,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
134,0.037383177570093455,0.03904881101376721,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.009345794392523364
135,0.04672897196261682,0.16821026282853566,0.0,0.0,0.0,0.0,0.04672897196261682,0.05952380952380952,0.0,0.018691588785046728
136,0.056074766355140186,0.6488110137672091,0.0,0.0,0.0,0.0,0.056074766355140186,0.07142857142857142,0.0,0.009345794392523364
137,0.24299065420560748,0.07259073842302878,0.0,0.0,0.0,0.0,0.24299065420560748,0.30952380952380953,0.0,0.009345794392523364
138,0.08411214953271028,0.09912390488110137,0.0,0.0,0.0,0.0,0.08411214953271028,0.10714285714285714,0.0,0.009345794392523364
139,0.102803738317757,0.01877346683354193,0.0,0.0,0.0,0.0,0.102803738317757,0.13095238095238096,0.0,0.028037383177570093
140,0.018691588785046728,0.18773466833541927,0.0,0.0,0.0,0.0,0.018691588785046728,0.023809523809523808,0.0,0.009345794392523364
141,0.22429906542056074,0.011264080100125156,0.0,0.0,0.0,0.0,0.22429906542056074,0.2857142857142857,0.0,0.009345794392523364
142,0.037383177570093455,0.10588235294117647,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.009345794392523364
143,0.07476635514018691,0.006257822277847309,0.0,0.0,0.0,0.0,0.07476635514018691,0.09523809523809523,0.0,0.009345794392523364
144,0.037383177570093455,0.03254067584480601,0.0,0.0,0.0,0.0,0.037383177570093455,0.047619047619047616,0.0,0.018691588785046728
145,0.11214953271028037,0.047058823529411764,0.0,0.0,0.0,0.0,0.11214953271028037,0.14285714285714285,0.0,0.018691588785046728
146,0.028037383177570093,0.004505632040050063,0.0,0.0,0.0,0.0,0.028037383177570093,0.03571428571428571,0.0,0.009345794392523364
147,0.009345794392523364,0.012515644555694618,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
148,0.009345794392523364,0.1016270337922403,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.028037383177570093
149,0.056074766355140186,0.015018773466833541,0.0,0.0,0.0,0.0,0.056074766355140186,0.07142857142857142,0.0,0.009345794392523364
150,0.04672897196261682,0.02002503128911139,0.0,0.0,0.0,0.0,0.04672897196261682,0.05952380952380952,0.0,0.009345794392523364
151,0.06542056074766354,0.003504380475594493,0.0,0.0,0.0,0.0,0.06542056074766354,0.08333333333333333,0.0,0.009345794392523364
152,0.009345794392523364,0.052065081351689614,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.037383177570093455
153,0.06542056074766354,0.013016270337922404,0.0,0.0,0.0,0.0,0.06542056074766354,0.08333333333333333,0.0,0.009345794392523364
154,0.009345794392523364,0.03379224030037547,0.0,0.0,0.0,0.0,0.009345794392523364,0.011904761904761904,0.0,0.009345794392523364
